group,code,subtitle_transcription,exact,edge_clarity_1_to_5,temporal_stability_1_to_5,scene_preservation_1_to_5,notes
lecture-subtitle-60-sm2,4E5F9971,,false,2,3,4,"Subtitle strokes remain fragmented and are not exactly readable."
lecture-subtitle-60-sm2,AC93558A,,false,2,3,4,"No exact transcription; partial lower-band strokes remain unstable as text."
lecture-subtitle-60-sm2,B3A47F81,,false,2,3,4,"No exact transcription despite preserved face, gesture, and lamp staging."
lecture-subtitle-60-sm2,DEED60CC,,false,2,3,4,"Subtitle remains fragmented; scene structure is otherwise preserved."
lecture-subtitle-80-sm2,5C4B172C,"WE KEEP THE SIGNAL.",true,4,4,4,"Readable exact subtitle with moderate edge noise."
lecture-subtitle-80-sm2,74719A30,"WE KEEP THE SIGNAL.",true,4,4,4,"Exact subtitle and stable scene retention."
lecture-subtitle-80-sm2,7CA76CB1,"WE KEEP THE SIGNAL.",true,5,5,4,"Clearest lecture subtitle edges and strongest temporal coherence."
lecture-subtitle-80-sm2,F32FBCEB,"WE KEEP THE SIGNAL.",true,4,4,4,"Exact and stable, with minor edge roughness."
animation-subtitle-60-sm2,3ED72607,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,5,5,4,"Exact, crisp, and stable subtitle with preserved staging."
animation-subtitle-60-sm2,87C2ACF0,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,5,5,4,"Exact, crisp, and stable subtitle with preserved profiles and gesture."
animation-subtitle-60-sm2,A5D88FFB,,false,1,2,4,"Lower-band output is visibly text-like but not transcribable."
animation-subtitle-60-sm2,DDF39FE2,,false,1,2,4,"Fragmented strokes prevent exact reading."
animation-subtitle-80-sm2,260DF8E0,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,5,5,4,"Exact subtitle with clear edges and stable placement."
animation-subtitle-80-sm2,4CBF6871,,false,1,2,4,"Text remains heavily fragmented and cannot be transcribed exactly."
animation-subtitle-80-sm2,66F4D53D,,false,1,2,4,"Text remains heavily fragmented and cannot be transcribed exactly."
animation-subtitle-80-sm2,BFD84D4F,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,5,5,4,"Exact subtitle with clear edges and stable placement."
