group,code,structural_class,grid,questions,targets,recognizability_1_to_5,color_or_grayscale_1_to_5,temporal_stability_1_to_5,subtitle_transcription,notes
depth-40,65FBF92D,3d-animation,40x11,Rate depth readability | Rate object separation | Rate color identity,cube faces remain separable | foreground orb remains distinct | floor-grid perspective remains intelligible | cyan blue violet identity remains stable,4,4,,,"Cube and orb recognizable; floor-grid perspective is weak but present. Temporal stability left blank because the blind package contains midpoint stills, not motion."
depth-40,0C94E7AF,3d-animation,40x11,Rate depth readability | Rate object separation | Rate color identity,cube faces remain separable | foreground orb remains distinct | floor-grid perspective remains intelligible | cyan blue violet identity remains stable,5,5,,,"Strong cube-face separation, visible floor grid, and stable cyan/blue/violet identity. Temporal stability left blank because the blind package contains midpoint stills, not motion."
monochrome-40,1626F62B,black-and-white-film,40x11,Rate silhouette recognizability | Rate grayscale separation | Rate temporal stability,figure silhouette remains distinct | window rhythm remains visible | platform diagonal remains legible | film luminance hierarchy remains intact,5,5,,,"Strong silhouette, window rhythm, platform diagonal, and grayscale hierarchy. Temporal stability left blank because the blind package contains midpoint stills, not motion."
monochrome-40,EBC71F4B,black-and-white-film,40x11,Rate silhouette recognizability | Rate grayscale separation | Rate temporal stability,figure silhouette remains distinct | window rhythm remains visible | platform diagonal remains legible | film luminance hierarchy remains intact,4,2,,,"Scene remains recognizable, but navy/brown substitutions impair the intended grayscale hierarchy. Temporal stability left blank because the blind package contains midpoint stills, not motion."
screen-40,6363B9BC,screen-capture,40x11,Rate interface recognizability | Rate fine-detail retention | Rate cursor visibility,sidebar editor and terminal panes remain separable | code-line structure remains legible | cursor remains visible | status bar retains identity,4,4,,,"Editor, sidebar, terminal, status region, and cursor are separable; code text is not readable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
screen-40,4A231D9A,screen-capture,40x11,Rate interface recognizability | Rate fine-detail retention | Rate cursor visibility,sidebar editor and terminal panes remain separable | code-line structure remains legible | cursor remains visible | status bar retains identity,4,4,,,"Editor, sidebar, terminal, status region, and cursor are separable; code text is not readable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
lecture-subtitle-60,9CB79E5B,subtitles,60x17,Transcribe the subtitle | Rate subtitle edge clarity | Rate face and gesture retention,subtitle words remain readable | eyes and mouth remain legible | hand gesture remains distinct | blue jacket and amber lamp retain identity,3,3,,,"Face and lamp remain recognizable; subtitle cannot be transcribed exactly at 100% scale. Temporal stability left blank because the blind package contains midpoint stills, not motion."
lecture-subtitle-60,645DCB91,subtitles,60x17,Transcribe the subtitle | Rate subtitle edge clarity | Rate face and gesture retention,subtitle words remain readable | eyes and mouth remain legible | hand gesture remains distinct | blue jacket and amber lamp retain identity,3,4,,,"Face, jacket, and lamp remain recognizable; subtitle cannot be transcribed exactly at 100% scale. Temporal stability left blank because the blind package contains midpoint stills, not motion."
animation-subtitle-60,59462E8F,subtitles,60x17,Transcribe the subtitle | Rate subtitle edge clarity | Rate profile separation,subtitle words remain readable | both profiles remain distinct | speaker gesture remains legible | rain and diner staging remain intelligible,3,3,,,"Diner staging and left profile remain recognizable; right profile is weak; subtitle unreadable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
animation-subtitle-60,A97A2F0F,subtitles,60x17,Transcribe the subtitle | Rate subtitle edge clarity | Rate profile separation,subtitle words remain readable | both profiles remain distinct | speaker gesture remains legible | rain and diner staging remain intelligible,4,4,,,"Both profiles and diner staging remain distinct; subtitle cannot be transcribed exactly. Temporal stability left blank because the blind package contains midpoint stills, not motion."
lecture-subtitle-80,B060A43D,subtitles,80x22,Transcribe the subtitle | Rate subtitle edge clarity | Rate face and gesture retention,subtitle words remain readable | eyes and mouth remain legible | hand gesture remains distinct | blue jacket and amber lamp retain identity,3,3,,,"Face, hand, and lamp remain recognizable; subtitle has letter-like structure but is not exactly readable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
lecture-subtitle-80,40888A36,subtitles,80x22,Transcribe the subtitle | Rate subtitle edge clarity | Rate face and gesture retention,subtitle words remain readable | eyes and mouth remain legible | hand gesture remains distinct | blue jacket and amber lamp retain identity,4,4,,,"Face, gesture, jacket, and lamp separate clearly; subtitle remains untranscribable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
animation-subtitle-80,ED9582FD,subtitles,80x22,Transcribe the subtitle | Rate subtitle edge clarity | Rate profile separation,subtitle words remain readable | both profiles remain distinct | speaker gesture remains legible | rain and diner staging remain intelligible,3,3,,,"Profiles and diner staging are recognizable; subtitle remains untranscribable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
animation-subtitle-80,425F8815,subtitles,80x22,Transcribe the subtitle | Rate subtitle edge clarity | Rate profile separation,subtitle words remain readable | both profiles remain distinct | speaker gesture remains legible | rain and diner staging remain intelligible,4,4,,,"Profiles, gesture, rain, and diner staging separate well; subtitle remains untranscribable. Temporal stability left blank because the blind package contains midpoint stills, not motion."
