group,code,grid,subtitle_transcription,exact_transcription,edge_clarity_1_to_5,temporal_stability_1_to_5,scene_preservation_1_to_5,notes
animation-subtitle-60-mask-plane,3502A7AB,60x17,,false,1,2,4,"Subtitle strokes remain fragmented and fluctuate across frames; diner staging and profiles remain recognizable."
animation-subtitle-60-mask-plane,91D1C016,60x17,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,5,5,4,"Exact, stable transcription with strong edge continuity; slight lower-band replacement remains visible."
animation-subtitle-60-mask-plane,BD59ED48,60x17,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,5,5,4,"Exact, stable transcription with strong edge continuity; scene remains coherent."
animation-subtitle-60-mask-plane,C4363AFE,60x17,,false,1,2,4,"Subtitle strokes remain fragmented and unreadable; scene composition remains recognizable."
animation-subtitle-80-mask-plane,C05CFF84,80x22,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,4,4,4,"Exact transcription with minor edge roughness and limited frame-to-frame stroke variation."
animation-subtitle-80-mask-plane,CAE9F35D,80x22,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,3,3,4,"Exact transcription is possible, but several letterforms are ragged and temporally uneven."
animation-subtitle-80-mask-plane,E1E061A2,80x22,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,3,3,4,"Exact transcription is possible despite distorted letter edges and moderate temporal variation."
animation-subtitle-80-mask-plane,F7377226,80x22,"NOTHING IMPORTANT SHOULD DISAPPEAR.",true,4,4,5,"Exact transcription, stable staging, and comparatively coherent letterforms."
lecture-subtitle-60-mask-plane,0593C505,60x17,,false,1,2,4,"Subtitle strokes remain fragmented and unreadable; face, gesture, and lamp remain recognizable."
lecture-subtitle-60-mask-plane,46607D35,60x17,"WE KEEP THE SIGNAL.",true,5,5,4,"Exact, stable transcription with strong edge continuity; scene remains recognizable."
lecture-subtitle-60-mask-plane,AD277FF3,60x17,,false,1,2,4,"Subtitle strokes remain fragmented and unreadable; face and staging remain intact."
lecture-subtitle-60-mask-plane,D8B1800E,60x17,"WE KEEP THE SIGNAL.",true,5,5,4,"Exact, stable transcription with strong edge continuity and limited shimmer."
lecture-subtitle-80-mask-plane,2E44CE9D,80x22,"WE KEEP THE SIGNAL.",true,4,4,4,"Exact transcription with coherent edges and modest temporal variation."
lecture-subtitle-80-mask-plane,86FE02AF,80x22,"WE KEEP THE SIGNAL.",true,3,3,4,"Exact transcription remains possible, but letterforms are ragged and fluctuate."
lecture-subtitle-80-mask-plane,B448CA07,80x22,"WE KEEP THE SIGNAL.",true,4,4,5,"Exact transcription with stable scene preservation and coherent letterforms."
lecture-subtitle-80-mask-plane,F9C28457,80x22,"WE KEEP THE SIGNAL.",true,3,3,4,"Exact transcription remains possible despite rough edges and moderate fluctuation."
