group,code,structural_class,grid,temporal_stability_1_to_5,motion_recognizability_1_to_5,notes
depth-40,65FBF92D,3d-animation,40x11,4,4,"Cube and orb remain coherent; minor edge-token shimmer in motion."
depth-40,0C94E7AF,3d-animation,40x11,4,5,"Strong floor perspective and object separation; mild low-level floor shimmer."
monochrome-40,1626F62B,black-and-white-film,40x11,4,4,"Silhouette, lamp, windows, and platform remain coherent with minor edge jitter."
monochrome-40,EBC71F4B,black-and-white-film,40x11,4,3,"Motion is stable, but dark tonal regions collapse and weaken the film hierarchy."
screen-40,6363B9BC,screen-capture,40x11,3,4,"Interface layout remains identifiable; fine lines, cursor detail, and terminal texture shimmer."
screen-40,4A231D9A,screen-capture,40x11,4,4,"Panes and status regions remain distinct; moderate texture jitter does not disrupt the layout."
lecture-subtitle-60,9CB79E5B,subtitles,60x17,3,4,"Face, gesture, and lamp remain recognizable; subtitle strokes visibly fluctuate and remain unreadable."
lecture-subtitle-60,645DCB91,subtitles,60x17,4,4,"Composition is stable; subtitle strokes remain unreadable but show less conspicuous shimmer."
animation-subtitle-60,59462E8F,subtitles,60x17,3,4,"Profiles and gesture remain clear; rain, table detail, and subtitle strokes show high-frequency shimmer."
animation-subtitle-60,A97A2F0F,subtitles,60x17,4,4,"Profiles and staging remain stable; subtitle text remains unreadable."
lecture-subtitle-80,B060A43D,subtitles,80x22,4,4,"Face and gesture remain stable; subtitle shapes become partly coherent but not exactly transcribable."
lecture-subtitle-80,40888A36,subtitles,80x22,4,4,"Stable facial and gesture motion; subtitle shapes remain only partly legible."
animation-subtitle-80,ED9582FD,subtitles,80x22,3,4,"Staging remains recognizable; dense rain and subtitle detail exhibit conspicuous temporal jitter."
animation-subtitle-80,425F8815,subtitles,80x22,4,5,"Strong profile separation and stable staging; subtitle remains not exactly transcribable."
