group,code,grid,subtitle_transcription,edge_clarity_1_to_5,temporal_stability_1_to_5,scene_preservation_1_to_5,notes
animation-subtitle-60-sm4-full,4B12E956,60x17,,1,2,4,Fragmented lower-band marks; no reliable transcription.
animation-subtitle-60-sm4-full,59811395,60x17,NOTHING IMPORTANT SHOULD DISAPPEAR.,5,5,4,Exact stable caption with strong edges.
animation-subtitle-60-sm4-full,8515575A,60x17,,1,2,4,Fragmented lower-band marks; no reliable transcription.
animation-subtitle-60-sm4-full,9F6F67D1,60x17,NOTHING IMPORTANT SHOULD DISAPPEAR.,5,5,4,Exact stable caption with strong edges.
animation-subtitle-80-sm4-full,33D4D3F1,80x22,NOTHING IMPORTANT SHOULD DISAPPEAR.,3,3,4,Readable but thin and visibly irregular.
animation-subtitle-80-sm4-full,34479DE6,80x22,NOTHING IMPORTANT SHOULD DISAPPEAR.,5,5,4,Exact stable caption with strong edges.
animation-subtitle-80-sm4-full,3F40347A,80x22,NOTHING IMPORTANT SHOULD DISAPPEAR.,5,5,4,Exact stable caption with strong edges.
animation-subtitle-80-sm4-full,B4C6F7D0,80x22,NOTHING IMPORTANT SHOULD DISAPPEAR.,3,3,4,Readable but thin and visibly irregular.
lecture-subtitle-60-sm4-full,1EF28E99,60x17,,1,2,4,Fragmented lower-band marks; no reliable transcription.
lecture-subtitle-60-sm4-full,3CC34C82,60x17,WE KEEP THE SIGNAL.,5,5,4,Exact stable caption with strong edges.
lecture-subtitle-60-sm4-full,6D68783B,60x17,WE KEEP THE SIGNAL.,5,5,4,Exact stable caption with strong edges.
lecture-subtitle-60-sm4-full,F2ED6FCE,60x17,,1,2,4,Fragmented lower-band marks; no reliable transcription.
lecture-subtitle-80-sm4-full,22FCACE4,80x22,WE KEEP THE SIGNAL.,4,4,4,Exact and readable with minor edge irregularity.
lecture-subtitle-80-sm4-full,2E278613,80x22,WE KEEP THE SIGNAL.,5,5,4,Exact stable caption with strong edges.
lecture-subtitle-80-sm4-full,65440A1B,80x22,WE KEEP THE SIGNAL.,5,5,4,Exact stable caption with strong edges.
lecture-subtitle-80-sm4-full,D2F86E85,80x22,WE KEEP THE SIGNAL.,4,4,4,Exact and readable with minor edge irregularity.
